date,likes,CA,TX,NY,CA_new,TX_new,NY_new
7/1/20,2703296,239764,174826,398770,7611,8123,628
7/2/20,2758855,248198,182260,399642,8434,7434,872
7/3/20,2816009,256298,190049,400561,8100,7789,919
7/4/20,2866015,265176,195707,401286,8878,5658,725
7/5/20,2910782,271587,200137,401822,6411,4430,536
7/6/20,2958098,277869,209350,402338,6282,9213,516
7/7/20,3012182,287766,219164,402928,9897,9814,590
7/8/20,3071637,296304,229116,403619,8538,9952,691
7/9/20,3131526,303516,240025,404207,7212,10909,588
7/10/20,3199753,311505,249948,404997,7989,9923,790
7/11/20,3260474,320030,258280,405724,8525,8332,727
7/12/20,3318279,327676,264811,406403,7646,6531,679
7/13/20,3379846,336206,273732,406962,8530,8921,559
7/14/20,3445448,346593,284638,407875,10387,10906,913
7/15/20,3513790,355497,296478,408709,8904,11840,834
7/16/20,3589477,364761,311516,409476,9264,15038,767
7/17/20,3660400,374922,321254,410254,10161,9738,778
7/18/20,3722851,383194,330059,411006,8272,8805,752
7/19/20,3785126,391460,338036,411515,8266,7977,509
7/20/20,3845014,400195,345672,412034,8735,7636,519
7/21/20,3910291,410366,355594,412889,10171,9922,855
7/22/20,3980030,422528,366561,413595,12162,10967,706
7/23/20,4050036,433175,376104,414405,10647,9543,810
7/24/20,4123561,443096,383662,415163,9921,7558,758
7/25/20,4190337,453327,391609,415911,10231,7947,748
7/26/20,4244554,459338,395738,416443,6011,4129,532
7/27/20,4303735,467103,402295,417056,7765,6557,613
7/28/20,4366851,474951,412849,417591,7848,10554,535
7/29/20,4433633,486039,421891,418302,11088,9042,711
7/30/20,4502581,494269,432134,419081,8230,10243,779
7/31/20,4571669,502273,443090,419723,8004,10956,642
8/1/20,4628497,509507,448224,420477,7234,5134,754
8/2/20,4679291,515937,454759,421008,6430,6535,531
8/3/20,4726775,522235,463541,421550,6298,8782,542
8/4/20,4780324,527258,473105,422296,5023,9564,746
8/5/20,4834047,532776,482467,422935,5518,9362,639
8/6/20,4891561,541013,490102,423629,8237,7635,694
8/7/20,4952718,548142,498266,424349,7129,8164,720
8/8/20,5007958,556158,504605,425055,8016,6339,706
8/9/20,5056438,563244,510392,425568,7086,5787,513
8/10/20,5103611,574267,517182,426046,11023,6790,478
8/11/20,5156968,586078,524898,426713,11811,7716,667
