date,likes,CA,TX,NY,CA_new,TX_new,NY_new
6/29/21,33623919,3818311,2990978,2112872,656,1725,244
6/30/21,33639892,3816704,2993964,2113147,-1607,2986,275
7/1/21,33656397,3818156,2995274,2113544,1452,1310,397
7/2/21,33677066,3820182,2997152,2114018,2026,1878,474
7/3/21,33681756,3820882,2998381,2114297,700,1229,279
7/4/21,33685247,3821453,2998600,2114609,571,219,312
7/5/21,33690454,3822073,2999137,2114985,620,537,376
7/6/21,33714142,3824416,3000308,2115292,2343,1171,307
7/7/21,33746559,3827935,3004368,2115633,3519,4060,341
7/8/21,33769662,3829878,3006725,2116270,1943,2357,637
7/9/21,33804834,3832085,3009125,2117024,2207,2400,754
7/10/21,33813725,3833655,3010721,2117754,1570,1596,730
7/11/21,33820008,3835509,3011151,2118565,1854,430,811
7/12/21,33852802,3839640,3012965,2119207,4131,1814,642
7/13/21,33894515,3844675,3016622,2119875,5035,3657,668
7/14/21,33932356,3847548,3021409,2120600,2873,4787,725
7/15/21,33967961,3850825,3024418,2121529,3277,3009,929
7/16/21,34019851,3855424,3029100,2122158,4599,4682,629
7/17/21,34032851,3857764,3031733,2123579,2340,2633,1421
7/18/21,34042378,3859898,3033479,2124722,2134,1746,1143
7/19/21,34098206,3867829,3036032,2125663,7931,2553,941
7/20/21,34160690,3874038,3040907,2126775,6209,4875,1112
7/21/21,34222629,3882678,3048717,2127867,8640,7810,1092
7/22/21,34286340,3889338,3056121,2129478,6660,7404,1611
7/23/21,34368845,3898271,3062933,2131176,8933,6812,1698
7/24/21,34391317,3901742,3067979,2133044,3471,5046,1868
7/25/21,34405810,3904632,3069377,2135076,2890,1398,2032
