date,cases
2021-01-21,21466
2021-01-22,18268
2021-01-23,13933
2021-01-24,7713
2021-01-25,20411
2021-01-26,20594
2021-01-27,19746
2021-01-28,19499
2021-01-29,18719
2021-01-30,13766
2021-01-31,12376
2021-02-01,39190
2021-02-02,18220
2021-02-03,17964
2021-02-04,13573
2021-02-05,14375
2021-02-06,8500
2021-02-07,7535
2021-02-08,10883
2021-02-09,13232
2021-02-10,13084
2021-02-11,11876
2021-02-12,12285
2021-02-13,8007
2021-02-14,4507
2021-02-15,2922
2021-02-16,3630
2021-02-17,4487
2021-02-18,2354
2021-02-19,5898
2021-02-20,5507
2021-02-21,6390
2021-02-22,7331
2021-02-23,10267
2021-02-24,7596
2021-02-25,7811
2021-02-26,10882
2021-02-27,5415
2021-02-28,3602
2021-03-01,8106
2021-03-02,7177
2021-03-03,7549
2021-03-04,7522
2021-03-05,5554
2021-03-06,3594
2021-03-07,2788
2021-03-08,3960
2021-03-09,5380
2021-03-10,5321
2021-03-11,6153
2021-03-12,5198
2021-03-13,2846
2021-03-14,2712
2021-03-15,4656
2021-03-16,5823
2021-03-17,4541
2021-03-18,3396
2021-03-19,3893
2021-03-20,2453
2021-03-21,2307
2021-03-22,3408
2021-03-23,4353
2021-03-24,3789
2021-03-25,5358
2021-03-26,3899
2021-03-27,3073
2021-03-28,2970
2021-03-29,4493
2021-03-30,3406
2021-03-31,4069
2021-04-01,3655
2021-04-02,2006
2021-04-03,1675
2021-04-04,1000
2021-04-05,4940
2021-04-06,4198
2021-04-07,3911
2021-04-08,4484
2021-04-09,3238
2021-04-10,2433
2021-04-11,1448
2021-04-12,5550
2021-04-13,4813
2021-04-14,3593
2021-04-15,3323
2021-04-16,3011
2021-04-17,1805
2021-04-18,1439
2021-04-19,4695
2021-04-20,4699
2021-04-21,4055
2021-04-22,3675
2021-04-23,2614
2021-04-24,1985
2021-04-25,1480
2021-04-26,4395
2021-04-27,3740
2021-04-28,4128
2021-04-29,3551
2021-04-30,3683
2021-05-01,2012
2021-05-02,1240
2021-05-03,4105
2021-05-04,2747
2021-05-05,2247
2021-05-06,2598
2021-05-07,2883
2021-05-08,1415
2021-05-09,1251
2021-05-10,2664
2021-05-11,2916
2021-05-12,2438
2021-05-13,2236
2021-05-14,2434
2021-05-15,1085
2021-05-16,665
2021-05-17,2118
2021-05-18,3428
2021-05-19,1896
2021-05-20,1684
2021-05-21,1543
2021-05-22,949
2021-05-23,748
2021-05-24,2862
2021-05-25,2520
2021-05-26,1624
2021-05-27,1737
2021-05-28,1653
2021-05-29,665
2021-05-30,165
2021-05-31,153
2021-06-01,702
2021-06-02,2347
2021-06-03,3104
2021-06-04,1636
2021-06-05,1294
2021-06-06,630
2021-06-07,819
2021-06-08,1845
2021-06-09,6951
2021-06-10,1853
2021-06-11,1138
2021-06-12,823
2021-06-13,423
2021-06-14,883
2021-06-15,1081
2021-06-16,2254
2021-06-17,783
2021-06-18,1081
2021-06-19,1719
2021-06-20,373
2021-06-21,653
2021-06-22,1890
2021-06-23,1136
2021-06-24,1678
2021-06-25,1684
2021-06-26,1500
2021-06-27,176
2021-06-28,864
2021-06-29,1725
2021-06-30,2986
2021-07-01,1310
2021-07-02,1878
2021-07-03,1229
2021-07-04,219
2021-07-05,537
2021-07-06,1171
2021-07-07,4060
2021-07-08,2357
2021-07-09,2400
2021-07-10,1596
2021-07-11,430
2021-07-12,1814
2021-07-13,3657
2021-07-14,4787
2021-07-15,3009
2021-07-16,4682
2021-07-17,2633
2021-07-18,1746
2021-07-19,2553
2021-07-20,4875
2021-07-21,7810
2021-07-22,7404
2021-07-23,6812
2021-07-24,5046
2021-07-25,1398
