date,cases,deaths
9/6/2020,740230,13730
9/7/2020,742685,13763
9/8/2020,746114,13843
9/9/2020,749197,13990
9/10/2020,753019,14094
9/11/2020,757126,14265
9/12/2020,760582,14333
9/13/2020,763390,14386
9/14/2020,767063,14458
9/15/2020,769918,14606
9/16/2020,773319,14716
9/17/2020,776945,14807
9/18/2020,781437,14912
9/19/2020,785077,15023
9/20/2020,788078,15018
9/21/2020,792220,15069
9/22/2020,795080,15209
9/23/2020,798351,15313
9/24/2020,801674,15389
9/25/2020,805736,15533
9/26/2020,809215,15588
9/27/2020,811699,15608
9/28/2020,814797,15641
9/29/2020,817940,15791
9/30/2020,821126,15898
10/1/2020,824307,15989
10/2/2020,828365,16074
10/3/2020,831495,16122
10/4/2020,834636,16150
10/5/2020,837722,16179
10/6/2020,840324,16251
10/7/2020,843734,16358
10/8/2020,847385,16425
10/9/2020,851229,16502
10/10/2020,854303,16568
10/11/2020,857077,16581
10/12/2020,859960,16594
10/13/2020,863614,16650
10/14/2020,867093,16752
10/15/2020,870380,16839
10/16/2020,874102,16901
10/17/2020,876258,16940
10/18/2020,878395,16979
10/19/2020,882666,16987
10/20/2020,887094,17067
10/21/2020,890154,17189
10/22/2020,896427,17266
10/23/2020,902328,17316
10/24/2020,906645,17345
10/25/2020,909345,17358
10/26/2020,913707,17398
10/27/2020,918635,17478
10/28/2020,922685,17541
10/29/2020,926910,17567
10/30/2020,931843,17627
10/31/2020,935262,17661
11/1/2020,938897,17671
11/2/2020,944148,17700
11/3/2020,949390,17751
11/4/2020,954629,17818
11/5/2020,960905,17866
11/6/2020,967618,17939
11/7/2020,972821,17964
11/8/2020,978861,17975
11/9/2020,985623,18035
11/10/2020,994366,18073
11/11/2020,999516,18109
11/12/2020,1009216,18141
11/13/2020,1019080,18218
11/14/2020,1027044,18254
11/15/2020,1036008,18265
11/16/2020,1047390,18304
11/17/2020,1058123,18360
11/18/2020,1069544,18467
11/19/2020,1082705,18555
11/20/2020,1096427,18649
11/21/2020,1109869,18709
11/22/2020,1118673,18726
11/23/2020,1136498,18768
11/24/2020,1153032,18875
11/25/2020,1167176,18982
11/26/2020,1176159,19025
11/27/2020,1193089,19100
11/28/2020,1206296,19132
11/29/2020,1219511,19151
11/30/2020,1237238,19209
12/1/2020,1253905,19327
12/2/2020,1272079,19440
12/3/2020,1293937,19586
12/4/2020,1318188,19791
12/5/2020,1343193,19876
12/6/2020,1371985,19937
12/7/2020,1399239,20052
12/8/2020,1425501,20238
12/9/2020,1457273,20466
12/10/2020,1491132,20636
12/11/2020,1528237,20854
12/12/2020,1554920,20958
12/13/2020,1590726,21043
12/14/2020,1620916,21196
12/15/2020,1655166,21483
12/16/2020,1716108,21881
12/17/2020,1761430,22155
12/18/2020,1809673,22496
12/19/2020,1847031,22651
12/20/2020,1889914,22736
12/21/2020,1933169,22980
12/22/2020,1968541,23254
12/23/2020,2013298,23633
12/24/2020,2048014,23944
12/25/2020,2064763,23964
12/26/2020,2129749,24221
12/27/2020,2167303,24283
12/28/2020,2209024,24529
12/29/2020,2243191,24954
12/30/2020,2275565,25391
12/31/2020,2307860,25965
1/1/2021,2345811,26236
1/2/2021,2398005,26542
1/3/2021,2433916,26635
1/4/2021,2474639,26995
1/5/2021,2511923,27486
1/6/2021,2548830,28040
1/7/2021,2589250,28554
1/8/2021,2640221,29228
1/9/2021,2687450,29699
1/10/2021,2729858,30000
1/11/2021,2770482,30381
1/12/2021,2816366,31105
1/13/2021,2858041,31653
1/14/2021,2898756,32246
1/15/2021,2937860,32947
1/16/2021,2975419,33393
1/17/2021,3006966,33593
1/18/2021,3032359,33742
1/19/2021,3071465,34390
1/20/2021,3090794,35001
1/21/2021,3116369,35704
1/22/2021,3141404,36326
1/23/2021,3164386,36818
1/24/2021,3186036,37118
1/25/2021,3212939,37499
1/26/2021,3234571,38222
1/27/2021,3253201,38927
1/28/2021,3272829,39527
1/29/2021,3292572,40192
1/30/2021,3310100,40694
1/31/2021,3324064,40928
2/1/2021,3341656,41284
2/2/2021,3354544,41858
2/3/2021,3367104,42434
2/4/2021,3381785,43062
2/5/2021,3395797,43631
2/6/2021,3407369,43987
2/7/2021,3417563,44152
