date,cases
2020-10-14,7977903
2020-10-15,8043257
2020-10-16,8113721
2020-10-17,8166482
2020-10-18,8214364
2020-10-19,8279804
2020-10-20,8340398
2020-10-21,8404635
2020-10-22,8479765
2020-10-23,8565062
2020-10-24,8643641
2020-10-25,8703356
2020-10-26,8777994
2020-10-27,8852381
2020-10-28,8934263
2020-10-29,9024932
2020-10-30,9124800
2020-10-31,9209007
2020-11-01,9283202
2020-11-02,9377208
2020-11-03,9469624
2020-11-04,9577702
2020-11-05,9699051
2020-11-06,9831874
2020-11-07,9957805
2020-11-08,10061218
2020-11-09,10191667
2020-11-10,10331417
2020-11-11,10474295
2020-11-12,10637946
2020-11-13,10819442
2020-11-14,10978475
2020-11-15,11113661
2020-11-16,11280224
2020-11-17,11441855
2020-11-18,11614135
2020-11-19,11801643
2020-11-20,12000502
2020-11-21,12172435
2020-11-22,12313229
2020-11-23,12492852
2020-11-24,12670710
2020-11-25,12851300
2020-11-26,12954294
2020-11-27,13160133
2020-11-28,13311541
2020-11-29,13447663
2020-11-30,13615321
2020-12-01,13799549
2020-12-02,14000721
2020-12-03,14218459
2020-12-04,14449827
2020-12-05,14655535
2020-12-06,14827456
2020-12-07,15031979
2020-12-08,15251693
2020-12-09,15471409
2020-12-10,15696634
2020-12-11,15977147
2020-12-12,16184679
2020-12-13,16368898
2020-12-14,16569783
2020-12-15,16772936
2020-12-16,17017763
2020-12-17,17255472
2020-12-18,17506662
2020-12-19,17700567
2020-12-20,17880478
2020-12-21,18081996
2020-12-22,18283633
2020-12-23,18511396
2020-12-24,18704907
2020-12-25,18805838
2020-12-26,19022699
2020-12-27,19174788
2020-12-28,19363798
2020-12-29,19564828
2020-12-30,19793777
2020-12-31,20024801
2021-01-01,20172049
2021-01-02,20463659
2021-01-03,20665439
2021-01-04,20917269
2021-01-05,21152285
2021-01-06,21408251
2021-01-07,21688585
2021-01-08,21989362
2021-01-09,22241281
2021-01-10,22449576
2021-01-11,22675892
2021-01-12,22905869
2021-01-13,23135194
2021-01-14,23374716
2021-01-15,23614569
2021-01-16,23816762
2021-01-17,23986856
2021-01-18,24127989
2021-01-19,24314933
2021-01-20,24500421
2021-01-21,24690903
2021-01-22,24882468
