date,cases
2020-03-01,1
2020-03-02,0
2020-03-03,1
2020-03-04,9
2020-03-05,11
2020-03-06,22
2020-03-07,45
2020-03-08,17
2020-03-09,36
2020-03-10,31
2020-03-11,44
2020-03-12,109
2020-03-13,95
2020-03-14,189
2020-03-15,122
2020-03-16,218
2020-03-17,425
2020-03-18,1012
2020-03-19,1774
2020-03-20,2952
2020-03-21,3258
2020-03-22,4817
2020-03-23,5711
2020-03-24,4805
2020-03-25,7413
2020-03-26,5941
2020-03-27,5688
2020-03-28,8771
2020-03-29,6266
2020-03-30,7721
2020-03-31,8707
2020-04-01,8153
2020-04-02,8996
2020-04-03,10329
2020-04-04,12274
2020-04-05,8122
2020-04-06,9304
2020-04-07,8314
2020-04-08,9568
2020-04-09,10765
2020-04-10,10794
2020-04-11,10160
2020-04-12,8435
2020-04-13,6548
2020-04-14,7402
2020-04-15,11755
2020-04-16,8631
2020-04-17,7532
2020-04-18,7249
2020-04-19,6199
2020-04-20,4867
2020-04-21,4324
2020-04-22,5659
2020-04-23,6341
2020-04-24,8286
2020-04-25,10683
2020-04-26,6013
2020-04-27,4077
2020-04-28,3285
2020-04-29,4718
2020-04-30,4702
2020-05-01,3879
2020-05-02,4559
2020-05-03,3699
2020-05-04,2524
2020-05-05,2302
2020-05-06,2746
2020-05-07,3526
2020-05-08,2873
2020-05-09,2715
2020-05-10,2138
2020-05-11,1610
2020-05-12,1438
2020-05-13,2123
2020-05-14,2364
2020-05-15,2759
2020-05-16,2185
2020-05-17,1901
2020-05-18,1241
2020-05-19,1479
2020-05-20,1478
2020-05-21,2078
2020-05-22,1678
2020-05-23,1754
2020-05-24,1601
2020-05-25,1279
2020-05-26,1044
2020-05-27,1132
2020-05-28,1758
2020-05-29,1549
2020-05-30,1363
2020-05-31,1104
2020-06-01,945
2020-06-02,1361
2020-06-03,1043
2020-06-04,1053
2020-06-05,1042
2020-06-06,1083
2020-06-07,777
2020-06-08,712
2020-06-09,690
2020-06-10,664
2020-06-11,724
2020-06-12,821
2020-06-13,912
2020-06-14,694
2020-06-15,623
2020-06-16,630
2020-06-17,561
2020-06-18,626
2020-06-19,794
2020-06-20,707
2020-06-21,665
2020-06-22,555
2020-06-23,598
2020-06-24,575
2020-06-25,738
2020-06-26,804
2020-06-27,697
2020-06-28,624
2020-06-29,391
2020-06-30,458
2020-07-01,628
2020-07-02,872
2020-07-03,919
2020-07-04,725
2020-07-05,536
2020-07-06,516
2020-07-07,590
2020-07-08,691
2020-07-09,588
2020-07-10,790
2020-07-11,727
2020-07-12,679
2020-07-13,559
2020-07-14,913
2020-07-15,834
2020-07-16,767
2020-07-17,778
2020-07-18,752
2020-07-19,509
2020-07-20,519
2020-07-21,855
2020-07-22,706
2020-07-23,810
2020-07-24,758
2020-07-25,748
2020-07-26,532
2020-07-27,613
2020-07-28,535
2020-07-29,711
2020-07-30,779
2020-07-31,642
2020-08-01,754
2020-08-02,531
2020-08-03,542
2020-08-04,746
2020-08-05,639
2020-08-06,694
2020-08-07,720
2020-08-08,706
2020-08-09,513
2020-08-10,478
2020-08-11,667
2020-08-12,706
2020-08-13,736
2020-08-14,724
2020-08-15,738
2020-08-16,609
2020-08-17,410
2020-08-18,662
2020-08-19,626
2020-08-20,599
2020-08-21,707
2020-08-22,651
2020-08-23,581
2020-08-24,404
2020-08-25,629
2020-08-26,568
2020-08-27,789
2020-08-28,635
2020-08-29,635
2020-08-30,709
2020-08-31,649
2020-09-01,757
2020-09-02,710
2020-09-03,888
2020-09-04,863
2020-09-05,799
2020-09-06,729
2020-09-07,525
2020-09-08,557
2020-09-09,573
2020-09-10,756
2020-09-11,861
2020-09-12,849
2020-09-13,725
2020-09-14,586
2020-09-15,767
2020-09-16,653
2020-09-17,893
2020-09-18,793
2020-09-19,983
2020-09-20,865
2020-09-21,575
2020-09-22,751
2020-09-23,666
2020-09-24,953
2020-09-25,909
2020-09-26,1006
2020-09-27,868
2020-09-28,836
2020-09-29,1188
2020-09-30,1005
2020-10-01,1383
2020-10-02,1601
2020-10-03,1728
2020-10-04,1226
2020-10-05,937
2020-10-06,1394
2020-10-07,1356
2020-10-08,1835
2020-10-09,1593
2020-10-10,1448
2020-10-11,1143
2020-10-12,1032
2020-10-13,1391
2020-10-14,1235
2020-10-15,1464
2020-10-16,1703
2020-10-17,1788
2020-10-18,1390
2020-10-19,999
2020-10-20,1201
2020-10-21,2029
2020-10-22,1629
2020-10-23,1636
2020-10-24,2058
2020-10-25,1633
2020-10-26,1192
2020-10-27,1994
2020-10-28,2029
2020-10-29,2497
2020-10-30,2258
2020-10-31,2052
2020-11-01,2259
2020-11-02,1632
2020-11-03,2317
2020-11-04,2126
2020-11-05,3002
2020-11-06,3208
2020-11-07,3587
2020-11-08,3430
2020-11-09,3149
2020-11-10,3964
2020-11-11,4821
2020-11-12,4798
2020-11-13,5401
2020-11-14,5391
2020-11-15,3644
2020-11-16,3498
2020-11-17,5094
2020-11-18,5282
2020-11-19,5302
2020-11-20,5477
2020-11-21,5976
2020-11-22,5386
2020-11-23,5911
2020-11-24,4878
2020-11-25,6267
2020-11-26,6938
2020-11-27,8179
2020-11-28,6060
2020-11-29,6732
2020-11-30,6816
2020-12-01,7293
2020-12-02,8975
2020-12-03,9853
2020-12-04,11274
2020-12-05,10759
2020-12-06,9710
2020-12-07,8379
2020-12-08,9019
2020-12-09,10937
2020-12-10,10257
2020-12-11,10561
2020-12-12,11039
2020-12-13,10027
2020-12-14,8984
2020-12-15,9736
2020-12-16,9378
2020-12-17,10498
2020-12-18,12606
2020-12-19,9913
2020-12-20,9454
2020-12-21,9456
2020-12-22,10299
2020-12-23,11740
2020-12-24,13347
2020-12-25,12881
2020-12-26,11048
2020-12-27,8205
2020-12-28,10334
2020-12-29,12020
2020-12-30,12917
2020-12-31,15393
2021-01-01,17033
2021-01-02,15849
2021-01-03,12232
2021-01-04,11242
2021-01-05,13142
2021-01-06,16016
2021-01-07,17588
2021-01-08,19560
2021-01-09,17839
2021-01-10,16308
2021-01-11,14179
2021-01-12,14791
2021-01-13,14704
2021-01-14,14187
2021-01-15,19469
2021-01-16,15945
2021-01-17,13694
2021-01-18,13410
2021-01-19,12721
2021-01-20,11119
2021-01-21,13908
2021-01-22,15684
2021-01-23,13909
2021-01-24,12383
2021-01-25,11972
2021-01-26,11040
2021-01-27,10365
2021-01-28,13783
2021-01-29,12951
2021-01-30,12892
2021-01-31,11209
2021-02-01,8932
2021-02-02,7949
2021-02-03,7154
2021-02-04,6970
2021-02-05,7897
2021-02-06,11492
2021-02-07,9923
2021-02-08,8972
2021-02-09,8279
2021-02-10,6584
2021-02-11,10011
2021-02-12,8715
2021-02-13,8755
2021-02-14,8330
2021-02-15,6538
2021-02-16,6709
2021-02-17,5925
2021-02-18,9582
2021-02-19,8573
2021-02-20,8238
2021-02-21,6237
2021-02-22,6297
2021-02-23,6923
2021-02-24,6139
2021-02-25,8893
2021-02-26,8074
2021-02-27,8042
2021-02-28,7827
2021-03-01,6436
2021-03-02,6381
2021-03-03,6564
2021-03-04,7468
2021-03-05,8151
2021-03-06,8126
2021-03-07,7658
2021-03-08,5440
2021-03-09,6833
